,,PARTIDO CABEÇA DE CHAPA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,
PARTIDO COLIGADO,PMDB,2273,197,221,407,114,159,167,130,291,309,162,25,14,30,28,34,20,45,0,22,5,9,7,26,10,8,PMDB
,PT,408,1179,90,374,97,177,146,43,265,317,113,21,23,74,35,36,28,42,1,30,7,9,14,33,3,7,PT
,PSDB,445,78,1242,442,143,197,146,178,238,236,140,28,31,32,61,66,21,37,1,28,8,5,4,39,4,8,PSDB
,PP,411,112,291,1742,98,190,157,123,289,149,132,28,13,36,40,48,17,43,1,17,2,5,5,13,5,3,PP
,PR,457,169,262,381,634,179,156,95,299,234,149,31,24,41,53,46,19,36,1,20,5,3,9,34,4,8,PR
,PSD,338,147,297,369,109,873,161,125,209,216,133,24,19,39,56,61,14,27,1,26,4,8,17,21,12,10,PSD
,PSB,398,165,277,395,113,158,823,125,245,244,136,29,22,56,51,62,22,31,0,27,7,13,11,40,4,10,PSB
,DEM,506,87,341,369,133,199,139,624,249,245,160,29,15,27,51,53,15,32,0,22,8,8,11,30,2,11,DEM
,PRB,283,83,210,164,84,157,122,84,1141,145,84,33,15,35,23,41,14,26,0,26,1,5,5,13,4,4,PRB
,PDT,414,159,241,401,95,180,174,104,249,1193,96,27,13,41,34,43,12,32,0,20,5,6,6,27,7,8,PDT
,PTB,382,161,284,389,87,148,160,115,243,271,755,25,15,22,39,43,16,28,0,28,3,10,9,23,4,10,PTB
,SD,234,47,172,144,58,106,102,85,132,121,81,245,15,33,24,36,12,24,0,18,2,7,9,17,10,5,SD
,PTN,203,102,120,167,55,102,91,49,190,131,76,25,172,19,25,29,9,23,1,18,7,5,7,20,2,6,PTN
,PCdoB,191,187,103,163,51,106,92,33,141,131,45,18,16,278,21,25,9,21,2,17,6,6,6,18,4,12,PCdoB
,PSC,346,100,256,279,89,155,135,93,237,180,115,22,19,30,324,49,13,34,1,26,8,11,10,26,2,6,PSC
,PPS,330,84,268,285,85,125,143,111,235,208,102,28,10,29,44,389,17,32,2,15,6,8,4,25,2,12,PPS
,PHS,232,98,145,175,56,100,106,69,179,147,80,26,19,30,34,31,197,30,1,18,6,3,4,21,7,8,PHS
,PV,287,95,209,215,69,122,109,94,184,155,106,24,14,24,24,49,14,299,1,27,4,3,11,20,3,7,PV
,PSOL,3,9,0,3,1,2,5,0,2,4,3,0,1,2,2,4,0,1,437,0,3,0,2,0,0,0,PSOL
,PROS,210,92,125,141,66,101,99,54,106,120,65,16,17,18,28,37,10,23,0,215,5,7,9,17,5,8,PROS
,REDE,50,33,39,42,14,23,44,12,51,45,15,10,4,12,1,9,2,10,0,8,177,2,2,6,1,6,REDE
,PTdoB,158,44,87,89,53,49,66,46,95,78,48,13,12,21,14,23,11,19,0,8,8,116,4,12,4,6,PTdoB
,PEN,168,56,118,120,59,89,75,69,140,111,50,16,20,25,25,29,6,28,2,18,7,5,171,18,5,10,PEN
,PSL,210,86,160,182,63,109,97,49,174,158,83,23,13,26,24,29,13,19,1,22,7,11,5,189,4,2,PSL
,PMB,122,48,67,76,35,56,64,39,94,81,29,11,9,14,16,19,8,13,0,9,3,1,4,7,79,4,PMB
,PRP,167,59,95,114,61,63,84,51,123,94,55,17,9,22,26,20,9,16,0,17,6,5,10,14,2,119,PRP
,,PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,
